folder_name,has_otel,notes
accounting,yes,"C#/.NET Kafka consumer service; uses OpenTelemetry .NET SDK (manual traces + auto-instrumentation via OpenTelemetry.Extensions.Hosting)"
ad,yes,"Java gRPC service; auto-instrumented via OpenTelemetry Java Agent (-javaagent); generates traces and metrics"
cart,yes,"C#/.NET gRPC service; uses OpenTelemetry .NET SDK for distributed traces, metrics, and logs"
checkout,yes,"Go gRPC service; uses go.opentelemetry.io/otel SDK for traces, metrics, and logs; also publishes to Kafka"
currency,yes,"C++ gRPC service; uses opentelemetry-cpp SDK (OPENTELEMETRY_CPP_VERSION set in .env) for traces and metrics"
email,yes,"Ruby HTTP service; uses opentelemetry-ruby gem (opentelemetry-sdk, opentelemetry-instrumentation-sinatra) for traces"
flagd,no,"Feature flag config only (demo.flagd.json); no application code and no OTel SDK integration"
flagd-ui,yes,"Elixir/Phoenix web application (mix.exs); uses OpenTelemetry Elixir libraries (opentelemetry_exporter, opentelemetry_phoenix) for traces"
fraud-detection,yes,"Kotlin/JVM Kafka consumer; auto-instrumented via OpenTelemetry Java Agent; reads orders topic and emits risk assessment spans"
frontend,yes,"TypeScript/Next.js BFF; uses @opentelemetry/sdk-web browser SDK for client-side traces and @opentelemetry/sdk-node for SSR traces"
frontend-proxy,yes,"Envoy proxy configured in envoy.tmpl.yaml to route OTLP HTTP (/otlp-http/) from browser to otel-collector:4318; CORS open for OTLP"
grafana,no,"Grafana config (grafana.ini) and dashboard/datasource provisioning only; Grafana is a visualization backend consuming from Prometheus/Jaeger/OpenSearch"
image-provider,no,"nginx serving static product images; no OTel SDK; nginx stub_status endpoint is scraped externally by OTel Collector nginx receiver"
jaeger,no,"Jaeger config (config.yml) only; Jaeger is the distributed trace storage and query backend receiving OTLP gRPC from the collector"
kafka,no,"Apache Kafka broker Dockerfile only; message broker has no OTel SDK; OTel Collector may scrape broker metrics via JMX"
llm,yes,"Python HTTP service (app.py); serves OpenAI-compatible API for product Q&A; uses OpenTelemetry Python SDK (opentelemetry-sdk in requirements.txt)"
load-generator,yes,"Python/Locust load testing tool; uses opentelemetry-sdk to inject W3C trace context headers into synthetic HTTP requests"
opensearch,no,"Dockerfile for OpenSearch data store only; OpenSearch is the log storage backend receiving data from the OTel Collector opensearch exporter"
otel-collector,yes,"IS the OpenTelemetry Collector (Contrib v0.146.1); config defines OTLP gRPC/HTTP receivers, spanmetrics connector, and exporters to Jaeger/Prometheus/OpenSearch"
payment,yes,"Node.js gRPC service; OTel SDK explicitly initialised in opentelemetry.js using @opentelemetry/sdk-node and @opentelemetry/auto-instrumentations-node"
postgresql,no,"PostgreSQL 17 Dockerfile and database init scripts only; relational database has no OTel SDK; OTel Collector scrapes DB metrics via postgresql receiver"
product-catalog,yes,"Go gRPC service; uses go.opentelemetry.io/otel SDK for traces, metrics, and logs; serves product data from JSON files"
product-reviews,yes,"Service in OTel Demo exposing product review data; instrumented with OTel SDK (language identifiable from src/product-reviews/ source files)"
prometheus,no,"Prometheus config (prometheus-config.yaml) only; Prometheus is the metrics time-series backend receiving OTLP HTTP push from the collector"
quote,yes,"PHP HTTP service; uses opentelemetry-php library (open-telemetry/sdk) for distributed traces on shipping quote calculations"
react-native-app,yes,"React Native mobile application; uses @opentelemetry/sdk-react-native (experimental) for client-side mobile traces and metrics"
recommendation,yes,"Python gRPC service; uses OpenTelemetry Python SDK (opentelemetry-sdk, opentelemetry-exporter-otlp-proto-grpc) for traces and metrics"
shipping,yes,"Rust HTTP service; uses opentelemetry and opentelemetry-otlp crates for distributed traces on shipping cost calculations"